9.246000000000000746e-03 4.154567999999999884e+05
9.383999999999999980e-03 4.046522000000000116e+05
1.068999999999999985e-02 3.062580000000000000e+05
1.113003000000000083e-02 2.897305000000000000e+05
1.130038000000000049e-02 2.839267000000000116e+05
1.134580999999999958e-02 2.824265000000000000e+05
1.141396000000000077e-02 2.811377000000000116e+05
1.142760999999999950e-02 2.806999000000000233e+05
1.158431000000000044e-02 2.760660999999999767e+05
1.221612000000000045e-02 2.591228999999999942e+05
1.305902999999999925e-02 2.408217000000000116e+05
1.396009999999999959e-02 2.247448999999999942e+05
1.492335000000000016e-02 2.101823999999999942e+05
1.595306000000000154e-02 1.966747000000000116e+05
1.705382000000000078e-02 1.839402000000000116e+05
1.823053000000000173e-02 1.717897999999999884e+05
1.948843999999999924e-02 1.601315000000000000e+05
2.083313999999999999e-02 1.488960000000000000e+05
2.227062999999999959e-02 1.380742999999999884e+05
2.380729999999999999e-02 1.276543999999999942e+05
2.545000999999999861e-02 1.176421000000000058e+05
2.578379999999999908e-02 1.157370000000000000e+05
2.617844999999999894e-02 1.135368000000000029e+05
2.628368999999999844e-02 1.129571999999999971e+05
2.644155000000000116e-02 1.190671000000000058e+05
2.683620000000000103e-02 1.172143000000000029e+05
2.720606000000000066e-02 1.155315000000000000e+05
2.908327000000000134e-02 1.077266999999999971e+05
3.109001999999999946e-02 1.004376000000000058e+05
3.323522999999999755e-02 9.349546000000000640e+04
3.552845999999999782e-02 8.685841999999999825e+04
3.797993000000000202e-02 8.048369999999999709e+04
4.060053999999999746e-02 7.430319999999999709e+04
4.340197999999999973e-02 6.833522000000000116e+04
4.639671000000000073e-02 6.259947000000000116e+04
4.959808999999999746e-02 5.711358999999999651e+04
5.302035000000000081e-02 5.190502999999999884e+04
5.667876000000000164e-02 4.699141000000000349e+04
6.058958999999999873e-02 4.238637999999999738e+04
6.477027999999999952e-02 3.810323999999999796e+04
6.923941999999999597e-02 3.414413999999999942e+04
7.401694999999999802e-02 3.050688000000000102e+04
7.912410999999999750e-02 2.718406999999999971e+04
8.458367999999999443e-02 2.416393000000000029e+04
9.041994999999999894e-02 2.143240999999999985e+04
9.665893000000000401e-02 1.896018000000000029e+04
9.721599999999999686e-02 1.876958000000000175e+04
9.870400000000000007e-02 1.826149000000000160e+04
9.910080000000000278e-02 1.812627000000000044e+04
9.969600000000000684e-02 7.968472999999999593e+04
1.011839999999999962e-01 7.957622999999999593e+04
1.033284000000000008e-01 7.941227999999999884e+04
1.104581000000000035e-01 7.918372999999999593e+04
1.180796999999999958e-01 7.789557000000000698e+04
1.262272000000000116e-01 7.501810000000000582e+04
1.349367999999999956e-01 7.087652000000000407e+04
1.442475000000000007e-01 6.583082000000000698e+04
1.457259999999999944e-01 6.501554000000000087e+04
1.479564999999999908e-01 6.377101999999999680e+04
1.485512999999999972e-01 6.343666999999999825e+04
1.494435000000000069e-01 6.888785000000000582e+04
1.516740000000000033e-01 6.758447999999999593e+04
1.542004999999999904e-01 6.610985000000000582e+04
1.648403999999999980e-01 6.011293000000000029e+04
1.762143999999999933e-01 5.409154000000000087e+04
1.883731999999999907e-01 4.821386000000000058e+04
2.013708999999999916e-01 4.264362999999999738e+04
